name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
162,149,120_220kV,11.5,3,50,1083988,1.3,51.114,51114,1,Amprion,Leuscheid Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.19316578267403 50.798335064694,7.86394571365263 50.7682419129404)",0.32
163,139,87_220kV,11.5,3,50,1128368,1.3,11.834,11834,1,Amprion,Polsum Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.03761988504233 51.5985496311832,7.06030699176008 51.6964760130648)",0.32
164,126,120,13.7,3,50,1083990,2.6,73.819,73819,1,Amprion,Dauersberg Ost,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.23319684331545 51.2325069075148,7.86394571365263 50.7682419129404)",0.25
165,129_220kV,153,11.5,3,50,1083998,1.3,34.1,34100,1,Amprion,Fichtenhain Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.33006858948983 51.2429161503794)",0.32
166,125_220kV,147,5.75,3,50,1084000,0.65,119.387,119387,0.5,Amprion,Bigge West,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,7.50597329671546 51.401592550355)",0.64
167,125_220kV,154,5.75,3,50,1084001,0.65,9.874,9874,0.5,Amprion,Dünnwald West,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,7.0235444991641 50.999068409611)",0.64
168,149,120_220kV,11.5,3,50,1084007,1.3,51.114,51114,1,Amprion,Leuscheid Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.19316578267403 50.798335064694,7.86394571365263 50.7682419129404)",0.32
169,130,120,13.7,3,50,1084017,2.6,83.781,83781,1,Amprion,Dauersberg West,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.12308195236379 51.1715887782054,7.86394571365263 50.7682419129404)",0.25
170,125_220kV,155,5.75,3,50,1084020,0.65,121.485,121485,0.5,Amprion,Bigge Ost,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,7.72438401522458 51.4093341305984)",0.64
171,125_220kV,154,5.75,3,50,1084021,0.65,9.874,9874,0.5,Amprion,Dünnwald Ost,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,7.0235444991641 50.999068409611)",0.64
172,117_220kV,156_220kV,23,3,50,1084023,2.6,13.409,13409,2,Amprion,Knapsack 2b,0.04,,990.7330619,Al/St 240/40 2-bundle 220.0,220000,4,"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,6.84223115147656 50.8598647243573)",0.16
173,117_220kV,149,11.5,3,50,1084027,1.3,17.034,17034,1,Amprion,Troisdorf Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,7.19316578267403 50.798335064694)",0.32
174,154,150,5.75,3,50,1084032,0.65,11.403,11403,0.5,Amprion,Merheim Ost,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.0235444991641 50.999068409611,7.0473845241055 50.9055286094924)",0.64
175,154,150,5.75,3,50,1084040,0.65,11.403,11403,0.5,Amprion,Merheim West,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.0235444991641 50.999068409611,7.0473845241055 50.9055286094924)",0.64
176,117_220kV,149,11.5,3,50,1084046,1.3,17.065,17065,1,Amprion,Troisdorf West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,7.19316578267403 50.798335064694)",0.32
